yyyy-MM-dd,io-direction,counter-party,tonnes
2020-08-25,out,"Council compost, Energen biogas, etc.",0.0162
2020-08-26,out,Used as food,-0.01715
2020-08-26,out,Used by individuals for compost,0.003
2020-08-26,out,Donated to animal sanctuary,0.01415
2020-08-27,in,Local supermarkets,0.022
2020-08-27,out,Used as food,0.01215
2020-08-27,out,"Council compost, Energen biogas, etc.",0.00985
2020-08-28,out,Used as food,-0.0558
2020-08-28,out,"Council compost, Energen biogas, etc.",0.0558
2020-08-29,out,Used as food,-0.0199
2020-08-29,out,"Council compost, Energen biogas, etc.",0.0199
2020-08-30,out,Used as food,-0.02885
2020-08-30,out,"Council compost, Energen biogas, etc.",0.00895
2020-08-30,out,Used by individuals for compost,0.0199
2020-08-31,out,Used as food,-0.02255
2020-08-31,out,"Council compost, Energen biogas, etc.",0.02255
2020-09-01,in,Local supermarkets,1.583886
2020-09-01,out,Used as food,1.569636
2020-09-01,out,"Council compost, Energen biogas, etc.",0.01425
2020-09-02,in,Fareshare,0.91
2020-09-02,out,Used as food,0.8527
2020-09-02,out,Donated to animal sanctuary,0.0573
2020-09-03,out,Used as food,-0.00399
2020-09-03,out,"Council compost, Energen biogas, etc.",0.00399
2020-09-04,out,Used as food,-0.0071
2020-09-04,out,Used by individuals for compost,0.0071
2020-09-05,out,Used as food,-0.009
2020-09-05,out,Used by individuals for compost,0.009
2020-09-07,out,Used as food,-0.025
2020-09-07,out,"Council compost, Energen biogas, etc.",0.025
2020-09-08,in,Other,0.00165
2020-09-08,out,Used as food,-0.02825
2020-09-08,out,"Council compost, Energen biogas, etc.",0.0299
2020-09-09,in,Fareshare,0.21622
2020-09-09,out,Used as food,0.20222
2020-09-09,out,Used by individuals for compost,0.014
2020-09-10,in,Local supermarkets,0.0336
2020-09-10,out,Used as food,0.02355
2020-09-10,out,"Council compost, Energen biogas, etc.",0.01005
2020-09-11,out,Used as food,-0.01105
2020-09-11,out,"Council compost, Energen biogas, etc.",0.01105
2020-09-12,out,Used as food,-0.0740
2020-09-12,out,"Council compost, Energen biogas, etc.",0.0526
2020-09-12,out,Donated to animal sanctuary,0.0214
2020-09-13,out,Used as food,-0.00725
2020-09-13,out,"Council compost, Energen biogas, etc.",0.00725
2020-09-14,in,Local supermarkets,0.06285
2020-09-14,out,Used as food,-0.00955
2020-09-14,out,Donated to animal sanctuary,0.0724
2020-09-22,out,Used as food,-0.1200
2020-09-22,out,Used by individuals for compost,0.0055
2020-09-22,out,Donated to animal sanctuary,0.1145
2020-09-23,in,Local supermarkets,0.01025
2020-09-23,in,Fareshare,0.44
2020-09-23,in,Donated as waste,0.0044
2020-09-23,out,Used as food,0.44865
2020-09-23,out,Used by individuals for compost,0.006
2020-09-24,in,Other,0.01465
2020-09-24,out,Used as food,-0.00730
2020-09-24,out,Used by individuals for compost,0.0058
2020-09-24,out,Donated to animal sanctuary,0.01615
2020-09-25,in,Other,0.012
2020-09-25,out,Used as food,0.0037
2020-09-25,out,Used by individuals for compost,0.0083
2020-09-26,in,Donated as waste,0.000255
2020-09-26,out,Used as food,-0.025145
2020-09-26,out,Used by individuals for compost,0.0141
2020-09-26,out,Donated to animal sanctuary,0.0113
2020-09-27,out,Used as food,-0.0115
2020-09-27,out,Used by individuals for compost,0.0115
2020-09-28,in,Donated as waste,0.000226
2020-09-28,out,Used as food,-0.009824
2020-09-28,out,Used by individuals for compost,0.01005
2020-09-29,in,Fareshare,1.15216
2020-09-29,in,Other,0.000226
2020-09-29,out,Used as food,1.136186
2020-09-29,out,Used by individuals for compost,0.0162
2020-09-30,in,Donated not waste,0.00385
2020-09-30,out,Used as food,-0.01215
2020-09-30,out,Used by individuals for compost,0.016
2020-10-01,in,Local supermarkets,1.614542
2020-10-01,out,Used as food,1.531492
2020-10-01,out,"Council compost, Energen biogas, etc.",0.0022
2020-10-01,out,Donated to animal sanctuary,0.08085
2020-10-02,out,Used as food,-0.0035
2020-10-02,out,"Council compost, Energen biogas, etc.",0.0035
2020-10-03,in,Other,0.007775
2020-10-03,out,Used as food,0.006095
2020-10-03,out,"Council compost, Energen biogas, etc.",0.00168
2020-10-04,out,Used as food,-0.017
2020-10-04,out,"Council compost, Energen biogas, etc.",0.017
2020-10-05,in,Other,0.0005
2020-10-05,out,"Council compost, Energen biogas, etc.",0.0005
2020-10-06,in,Other,0.000125
2020-10-06,out,Used as food,-0.000775
2020-10-06,out,"Council compost, Energen biogas, etc.",0.0009
2020-10-07,in,Other,0.00015
2020-10-07,out,Used as food,-0.00145
2020-10-07,out,"Council compost, Energen biogas, etc.",0.0016
2020-10-08,in,Other,0.018887
2020-10-08,out,Used as food,-0.029213
2020-10-08,out,Donated to animal sanctuary,0.0481
2020-10-09,in,Fareshare,1.09647
2020-10-09,in,Other,0.0258
2020-10-09,out,Used as food,1.11742
2020-10-09,out,"Council compost, Energen biogas, etc.",0.00485
2020-10-10,in,Other,0.005
2020-10-10,out,Used as food,-0.01970
2020-10-10,out,"Council compost, Energen biogas, etc.",0.01405
2020-10-10,out,Used by individuals for compost,0.01065
2020-10-11,in,Other,0.0256
2020-10-11,out,Used as food,0.02365
2020-10-11,out,"Council compost, Energen biogas, etc.",0.00195
2020-10-12,in,Other,0.00045
2020-10-12,out,Used as food,-0.01735
2020-10-12,out,"Council compost, Energen biogas, etc.",0.0023
2020-10-12,out,Donated to animal sanctuary,0.0155
2020-10-13,in,Other,0.000207
2020-10-13,out,Used as food,-0.049443
2020-10-13,out,"Council compost, Energen biogas, etc.",0.01005
2020-10-13,out,Donated to animal sanctuary,0.0396
2020-10-14,in,Other,0.01875
2020-10-14,out,Used as food,0.01460
2020-10-14,out,"Council compost, Energen biogas, etc.",0.00415
2020-10-15,in,Other,0.03716
2020-10-15,out,Used as food,-0.02159
2020-10-15,out,"Council compost, Energen biogas, etc.",0.00865
2020-10-15,out,Donated to animal sanctuary,0.0501
2020-10-16,out,Used as food,-0.0185
2020-10-16,out,"Council compost, Energen biogas, etc.",0.0185
2020-10-17,out,Used as food,-0.0059
2020-10-17,out,"Council compost, Energen biogas, etc.",0.0059
2020-10-18,in,Other,0.000196
2020-10-18,out,Used as food,-0.013304
2020-10-18,out,"Council compost, Energen biogas, etc.",0.0135
2020-10-19,in,Other,0.01624
2020-10-19,out,Used as food,0.00774
2020-10-19,out,"Council compost, Energen biogas, etc.",0.0085
2020-10-20,out,Used as food,-0.0109
2020-10-20,out,"Council compost, Energen biogas, etc.",0.0109
2020-10-21,in,Other,0.018671
2020-10-21,out,Used as food,0.015571
2020-10-21,out,"Council compost, Energen biogas, etc.",0.0031
2020-10-22,in,Other,0.03015
2020-10-22,out,Used as food,-0.00145
2020-10-22,out,"Council compost, Energen biogas, etc.",0.00115
2020-10-22,out,Donated to animal sanctuary,0.03045
2020-10-23,in,Other,0.025
2020-10-23,out,Used as food,0.0195
2020-10-23,out,Donated to animal sanctuary,0.0055
2020-10-24,in,Other,0.0182
2020-10-24,out,Used as food,0.00695
2020-10-24,out,"Council compost, Energen biogas, etc.",0.01125
2020-10-25,in,Other,0.01
2020-10-25,out,Used as food,0.00125
2020-10-25,out,"Council compost, Energen biogas, etc.",0.00875
2020-10-26,in,Other,0.0002
2020-10-26,out,Used as food,-0.0098
2020-10-26,out,"Council compost, Energen biogas, etc.",0.01
2020-10-27,in,Other,0.00005
2020-10-27,out,Used as food,-0.07165
2020-10-27,out,"Council compost, Energen biogas, etc.",0.005
2020-10-27,out,Donated to animal sanctuary,0.0667
2020-10-28,in,Other,0.012152
2020-10-28,out,Used as food,0.010152
2020-10-28,out,"Council compost, Energen biogas, etc.",0.002
2020-10-29,in,Other,0.00225
2020-10-29,out,Used as food,0.00225
2020-10-30,in,Other,0.01165
2020-10-30,out,Used as food,0.01165
2020-10-31,in,Other,0.022
2020-10-31,out,Used as food,0.022
2020-11-01,in,Local supermarkets,1.904766
2020-11-01,in,Other,0.016
2020-11-01,out,Used as food,1.910816
2020-11-01,out,"Council compost, Energen biogas, etc.",0.00995
2020-11-02,in,Other,0.0095
2020-11-02,out,Used as food,-0.0130
2020-11-02,out,"Council compost, Energen biogas, etc.",0.0225
2020-11-03,in,Other,0.010358
2020-11-03,out,Used as food,-0.011392
2020-11-03,out,"Council compost, Energen biogas, etc.",0.0045
2020-11-03,out,Donated to animal sanctuary,0.01725
2020-11-04,in,Other,0.000125
2020-11-04,out,Used as food,-0.000875
2020-11-04,out,"Council compost, Energen biogas, etc.",0.001
2020-11-05,in,Other,0.033325
2020-11-05,out,Used as food,0.031625
2020-11-05,out,"Council compost, Energen biogas, etc.",0.0017
2020-11-06,in,Other,0.0082
2020-11-06,out,Used as food,0.00095
2020-11-06,out,"Council compost, Energen biogas, etc.",0.00725
2020-11-07,in,Other,0.000165
2020-11-07,out,Used as food,-0.005335
2020-11-07,out,"Council compost, Energen biogas, etc.",0.0055
2020-11-08,in,Other,0.0124
2020-11-08,out,Used as food,-0.0534
2020-11-08,out,Donated to animal sanctuary,0.0658
2020-11-09,out,Used as food,-0.0063
2020-11-09,out,"Council compost, Energen biogas, etc.",0.0063
2020-11-10,in,Other,0.00015
2020-11-10,out,Used as food,-0.00685
2020-11-10,out,"Council compost, Energen biogas, etc.",0.007
2020-11-11,in,Other,0.0069
2020-11-11,out,Used as food,-0.0738
2020-11-11,out,"Council compost, Energen biogas, etc.",0.007
2020-11-11,out,Donated to animal sanctuary,0.0737
2020-11-12,in,Other,0.038241
2020-11-12,out,Used as food,0.031741
2020-11-12,out,"Council compost, Energen biogas, etc.",0.0065
2020-11-13,in,Other,0.009064
2020-11-13,out,Used as food,-0.001436
2020-11-13,out,"Council compost, Energen biogas, etc.",0.0105
2020-11-14,in,Other,0.011897
2020-11-14,out,Used as food,0.004947
2020-11-14,out,"Council compost, Energen biogas, etc.",0.00695
2020-11-16,in,Other,0.01765
2020-11-16,out,Used as food,-0.01355
2020-11-16,out,"Council compost, Energen biogas, etc.",0.0082
2020-11-16,out,Donated to animal sanctuary,0.023
2020-11-17,in,Other,0.003152
2020-11-17,out,Used as food,-0.010898
2020-11-17,out,"Council compost, Energen biogas, etc.",0.00605
2020-11-17,out,Donated to animal sanctuary,0.008
2020-11-18,in,Other,0.011327
2020-11-18,out,Used as food,0.006377
2020-11-18,out,"Council compost, Energen biogas, etc.",0.00495
2020-11-19,in,Other,0.04152
2020-11-19,out,Used as food,0.04152
2020-11-20,in,Other,0.008
2020-11-20,out,Used as food,-0.076
2020-11-20,out,"Council compost, Energen biogas, etc.",0.042
2020-11-20,out,Donated to animal sanctuary,0.042
2020-11-21,in,Other,0.002641
2020-11-21,out,Used as food,0.002641
2020-11-22,in,Other,0.011
2020-11-22,out,Used as food,0.0015
2020-11-22,out,"Council compost, Energen biogas, etc.",0.0095
2020-11-24,in,Other,0.000124
2020-11-24,out,Used as food,0.000124
2020-11-25,in,Other,0.00918
2020-11-25,out,Used as food,0.00658
2020-11-25,out,"Council compost, Energen biogas, etc.",0.0026
2020-11-26,in,Other,0.023154
2020-11-26,out,Used as food,-0.019846
2020-11-26,out,"Council compost, Energen biogas, etc.",0.005
2020-11-26,out,Used by individuals for compost,0.008
2020-11-26,out,Donated to animal sanctuary,0.03
2020-11-27,in,Other,0.057
2020-11-27,out,Used as food,0.057
2020-11-28,in,Other,0.000196
2020-11-28,out,Used as food,-0.006304
2020-11-28,out,"Council compost, Energen biogas, etc.",0.0065
2020-11-29,in,Other,0.0155
2020-11-29,out,Used as food,0.00875
2020-11-29,out,"Council compost, Energen biogas, etc.",0.00675
2020-11-30,in,Local supermarkets,0.430177
2020-11-30,in,Other,0.00975
2020-11-30,out,Used as food,0.415927
2020-11-30,out,"Council compost, Energen biogas, etc.",0.007
2020-11-30,out,Used by individuals for compost,0.0035
2020-11-30,out,Donated to animal sanctuary,0.0135
2020-12-01,in,Local supermarkets,0.0674
2020-12-01,in,Other,0.01042
2020-12-01,out,Used as food,0.07417
2020-12-01,out,"Council compost, Energen biogas, etc.",0.00365
2020-12-02,in,Local supermarkets,0.0441
2020-12-02,in,Other,0.029147
2020-12-02,out,Used as food,0.067997
2020-12-02,out,"Council compost, Energen biogas, etc.",0.00325
2020-12-02,out,Donated to animal sanctuary,0.002
2020-12-03,in,Local supermarkets,0.0468
2020-12-03,in,Other,0.0205
2020-12-03,out,Used as food,0.0593
2020-12-03,out,"Council compost, Energen biogas, etc.",0.008
2020-12-04,in,Local supermarkets,0.0458
2020-12-04,in,Other,0.0765
2020-12-04,out,Used as food,0.0959
2020-12-04,out,"Council compost, Energen biogas, etc.",0.0264
2020-12-05,in,Local supermarkets,0.1523
2020-12-05,out,Used as food,0.1408
2020-12-05,out,"Council compost, Energen biogas, etc.",0.0115
2020-12-06,in,Local supermarkets,0.134
2020-12-06,in,Other,0.018707
2020-12-06,out,Used as food,0.147207
2020-12-06,out,"Council compost, Energen biogas, etc.",0.0055
2020-12-07,in,Local supermarkets,0.0419
2020-12-07,in,Fareshare,0.66592
2020-12-07,in,Other,0.05775
2020-12-07,out,Used as food,0.75057
2020-12-07,out,"Council compost, Energen biogas, etc.",0.015
2020-12-08,in,Local supermarkets,0.1217
2020-12-08,in,Other,0.010117
2020-12-08,out,Used as food,0.128767
2020-12-08,out,"Council compost, Energen biogas, etc.",0.00305
2020-12-09,in,Local supermarkets,0.055
2020-12-09,in,Other,0.033252
2020-12-09,out,Used as food,0.088252
2020-12-10,in,Local supermarkets,0.0323
2020-12-10,in,Other,0.18115
2020-12-10,out,Used as food,0.20695
2020-12-10,out,"Council compost, Energen biogas, etc.",0.0065
2020-12-11,in,Local supermarkets,0.0589
2020-12-11,in,Donated not waste,1.5508
2020-12-11,out,Used as food,1.6097
2020-12-12,in,Local supermarkets,0.1069
2020-12-12,in,Purchased,0.08
2020-12-12,in,Other,0.1528
2020-12-12,out,Used as food,0.3355
2020-12-12,out,"Council compost, Energen biogas, etc.",0.0042
2020-12-13,in,Local supermarkets,0.0674
2020-12-13,in,Purchased,0.08
2020-12-13,in,Other,0.03732
2020-12-13,out,Used as food,0.18472
2020-12-14,in,Local supermarkets,0.0284
2020-12-14,in,Fareshare,0.82399
2020-12-14,in,Purchased,0.08
2020-12-14,in,Other,0.0385
2020-12-14,out,Used as food,0.96769
2020-12-14,out,"Council compost, Energen biogas, etc.",0.0032
2020-12-15,in,Local supermarkets,0.0602
2020-12-15,in,Purchased,0.08
2020-12-15,in,Other,0.00664
2020-12-15,out,Used as food,0.14684
2020-12-16,in,Local supermarkets,0.0889
2020-12-16,in,Purchased,0.08
2020-12-16,in,Other,0.0126
2020-12-16,out,Used as food,0.1764
2020-12-16,out,"Council compost, Energen biogas, etc.",0.0051
2020-12-17,in,Local supermarkets,0.0411
2020-12-17,in,Purchased,0.08
2020-12-17,in,Donated as waste,0.06443
2020-12-17,out,Used as food,0.14783
2020-12-17,out,"Council compost, Energen biogas, etc.",0.0377
2020-12-18,in,Local supermarkets,0.029
2020-12-18,in,Purchased,0.08
2020-12-18,in,Other,0.07005
2020-12-18,out,Used as food,0.16905
2020-12-18,out,"Council compost, Energen biogas, etc.",0.01
2020-12-19,in,Local supermarkets,0.4129
2020-12-19,in,Purchased,0.08
2020-12-19,in,Other,0.01685
2020-12-19,out,Used as food,0.44610
2020-12-19,out,"Council compost, Energen biogas, etc.",0.06365
2020-12-20,in,Local supermarkets,0.1423
2020-12-20,in,Purchased,0.08
2020-12-20,in,Other,0.0215
2020-12-20,out,Used as food,0.1888
2020-12-20,out,"Council compost, Energen biogas, etc.",0.055
2020-12-21,in,Local supermarkets,0.0187
2020-12-21,in,Fareshare,0.7616
2020-12-21,in,Purchased,0.08
2020-12-21,in,Donated not waste,0.004
2020-12-21,out,Used as food,0.7653
2020-12-21,out,"Council compost, Energen biogas, etc.",0.051
2020-12-21,out,Donated to animal sanctuary,0.048
2020-12-22,in,Local supermarkets,0.0154
2020-12-22,in,Purchased,0.08
2020-12-22,in,Other,0.022
2020-12-22,out,Used as food,0.1174
2020-12-23,in,Purchased,0.08
2020-12-23,in,Other,0.1506
2020-12-23,out,Used as food,0.2258
2020-12-23,out,"Council compost, Energen biogas, etc.",0.0048
2020-12-24,in,Local supermarkets,0.88138
2020-12-24,in,Purchased,0.08
2020-12-24,in,Other,0.03734
2020-12-24,out,Used as food,0.97302
2020-12-24,out,Donated to animal sanctuary,0.0257
2020-12-25,in,Purchased,0.08
2020-12-25,out,Used as food,0.08
2020-12-26,out,Used as food,-0.0967
2020-12-26,out,"Council compost, Energen biogas, etc.",0.0202
2020-12-26,out,Donated to animal sanctuary,0.0765
2020-12-27,in,Local supermarkets,0.7246
2020-12-27,out,Used as food,0.7032
2020-12-27,out,"Council compost, Energen biogas, etc.",0.0214
2020-12-28,in,Other,0.0125
2020-12-28,out,Used as food,-0.0300
2020-12-28,out,"Council compost, Energen biogas, etc.",0.018
2020-12-28,out,Used by individuals for compost,0.0245
2020-12-29,in,Local supermarkets,0.2751
2020-12-29,out,Used as food,0.2264
2020-12-29,out,Donated to animal sanctuary,0.0487
2020-12-30,in,Local supermarkets,0.0867
2020-12-30,in,Donated not waste,0.00167
2020-12-30,out,Used as food,0.08837
2020-12-31,in,Donated not waste,0.00182
2020-12-31,out,Used as food,-0.05898
2020-12-31,out,"Council compost, Energen biogas, etc.",0.048
2020-12-31,out,Used by individuals for compost,0.0128
2021-01-01,out,Used as food,-0.0095
2021-01-01,out,"Council compost, Energen biogas, etc.",0.0095
2021-01-02,in,Local supermarkets,0.0882
2021-01-02,out,Used as food,0.02715
2021-01-02,out,"Council compost, Energen biogas, etc.",0.06105
2021-01-03,in,Local supermarkets,0.012
2021-01-03,out,"Council compost, Energen biogas, etc.",0.012
2021-01-04,in,Local supermarkets,0.1199
2021-01-04,in,Donated not waste,0.00028
2021-01-04,out,Used as food,0.06968
2021-01-04,out,"Council compost, Energen biogas, etc.",0.02
2021-01-04,out,Used by individuals for compost,0.0305
2021-01-05,in,Local supermarkets,0.2523
2021-01-05,in,Fareshare,0.47304
2021-01-05,out,Used as food,0.69589
2021-01-05,out,"Council compost, Energen biogas, etc.",0.02945
2021-01-06,in,Local supermarkets,0.16495
2021-01-06,in,Donated not waste,0.000474
2021-01-06,out,Used as food,0.130474
2021-01-06,out,"Council compost, Energen biogas, etc.",0.01215
2021-01-06,out,Donated to animal sanctuary,0.0228
2021-01-07,in,Local supermarkets,0.0547
2021-01-07,in,Other,0.00025
2021-01-07,out,Used as food,0.03645
2021-01-07,out,Used by individuals for compost,0.0185
2021-01-08,in,Local supermarkets,0.0791
2021-01-08,out,Used as food,0.0391
2021-01-08,out,"Council compost, Energen biogas, etc.",0.04
2021-01-09,in,Local supermarkets,0.1746
2021-01-09,in,Other,0.000293
2021-01-09,out,Used as food,0.167443
2021-01-09,out,"Council compost, Energen biogas, etc.",0.00745
2021-01-10,in,Local supermarkets,0.2149
2021-01-10,in,Other,0.00035
2021-01-10,out,Used as food,0.19605
2021-01-10,out,"Council compost, Energen biogas, etc.",0.0192
2021-01-11,in,Local supermarkets,0.1539
2021-01-11,in,Fareshare,1.09293
2021-01-11,in,Other,0.0074
2021-01-11,out,Used as food,1.16923
2021-01-11,out,"Council compost, Energen biogas, etc.",0.045
2021-01-11,out,Used by individuals for compost,0.04
2021-01-12,in,Local supermarkets,0.0387
2021-01-12,in,Other,0.000334
2021-01-12,out,Used as food,-0.011966
2021-01-12,out,"Council compost, Energen biogas, etc.",0.0165
2021-01-12,out,Donated to animal sanctuary,0.0345
2021-01-13,in,Local supermarkets,0.1557
2021-01-13,out,Used as food,0.12905
2021-01-13,out,"Council compost, Energen biogas, etc.",0.02665
2021-01-14,in,Local supermarkets,0.1327
2021-01-14,out,Used as food,0.11225
2021-01-14,out,"Council compost, Energen biogas, etc.",0.02045
2021-01-15,in,Local supermarkets,0.0428
2021-01-15,in,Other,0.0013
