yyyy-MM-dd,io-direction,counter-party,tonnes
2021-01-15,out,Used as food,-0.0049
2021-01-15,out,"Council compost, Energen biogas, etc.",0.017
2021-01-15,out,Used by individuals for compost,0.032
2021-01-16,in,Local supermarkets,0.1688
2021-01-16,in,Other,0.00037
2021-01-16,out,Used as food,0.12137
2021-01-16,out,"Council compost, Energen biogas, etc.",0.0148
2021-01-16,out,Donated to animal sanctuary,0.033
2021-01-17,in,Local supermarkets,0.1813
2021-01-17,in,Other,0.0328
2021-01-17,out,Used as food,0.2019
2021-01-17,out,"Council compost, Energen biogas, etc.",0.0122
2021-01-18,in,Local supermarkets,0.0686
2021-01-18,in,Fareshare,0.46092
2021-01-18,in,Donated not waste,0.1488
2021-01-18,in,Other,0.00035
2021-01-18,out,Used as food,0.63887
2021-01-18,out,"Council compost, Energen biogas, etc.",0.0108
2021-01-18,out,Used by individuals for compost,0.029
2021-01-19,in,Local supermarkets,0.1286
2021-01-19,in,Other,0.07844
2021-01-19,out,Used as food,0.18574
2021-01-19,out,"Council compost, Energen biogas, etc.",0.0213
2021-01-20,in,Local supermarkets,0.0497
2021-01-20,in,Other,0.0107
2021-01-20,out,Used as food,0.0453
2021-01-20,out,"Council compost, Energen biogas, etc.",0.0151
2021-01-21,in,Local supermarkets,0.0465
2021-01-21,in,Other,0.000414
2021-01-21,out,Used as food,0.035514
2021-01-21,out,Used by individuals for compost,0.0114
2021-01-22,in,Local supermarkets,0.0585
2021-01-22,in,Other,0.0005
2021-01-22,out,Used as food,0.0002
2021-01-22,out,"Council compost, Energen biogas, etc.",0.0105
2021-01-22,out,Donated to animal sanctuary,0.0483
2021-01-23,in,Local supermarkets,0.0962
2021-01-23,in,Other,0.01833
2021-01-23,out,Used as food,0.07898
2021-01-23,out,"Council compost, Energen biogas, etc.",0.0096
2021-01-23,out,Donated to animal sanctuary,0.02595
2021-01-24,in,Local supermarkets,0.2021
2021-01-24,in,Other,0.000859
2021-01-24,out,Used as food,0.175259
2021-01-24,out,"Council compost, Energen biogas, etc.",0.0117
2021-01-24,out,Used by individuals for compost,0.016
2021-01-25,in,Local supermarkets,0.0451
2021-01-25,in,Fareshare,0.25544
2021-01-25,in,Other,0.000385
2021-01-25,out,Used as food,0.277925
2021-01-25,out,"Council compost, Energen biogas, etc.",0.007
2021-01-25,out,Used by individuals for compost,0.016
2021-01-26,in,Local supermarkets,0.0405
2021-01-26,out,Used as food,0.02915
2021-01-26,out,"Council compost, Energen biogas, etc.",0.00585
2021-01-26,out,Used by individuals for compost,0.0055
2021-01-27,in,Local supermarkets,0.0222
2021-01-27,in,Other,0.000494
2021-01-27,out,Used as food,0.012694
2021-01-27,out,"Council compost, Energen biogas, etc.",0.0015
2021-01-27,out,Used by individuals for compost,0.0085
2021-01-28,in,Local supermarkets,0.0697
2021-01-28,in,Other,0.01839
2021-01-28,out,Used as food,0.03011
2021-01-28,out,"Council compost, Energen biogas, etc.",0.00285
2021-01-28,out,Used by individuals for compost,0.00048
2021-01-28,out,Donated to animal sanctuary,0.05465
2021-01-29,in,Local supermarkets,0.032
2021-01-29,in,Fareshare,0.25552
2021-01-29,in,Other,0.0006
2021-01-29,out,Used as food,0.26762
2021-01-29,out,"Council compost, Energen biogas, etc.",0.0125
2021-01-29,out,Used by individuals for compost,0.008
2021-01-30,in,Local supermarkets,0.15015
2021-01-30,in,Other,0.000572
2021-01-30,out,Used as food,0.131282
2021-01-30,out,"Council compost, Energen biogas, etc.",0.01944
2021-01-31,in,Local supermarkets,0.0982
2021-01-31,in,Other,0.00053
2021-01-31,out,Used as food,0.09123
2021-01-31,out,"Council compost, Energen biogas, etc.",0.0075
2021-02-01,in,Local supermarkets,0.0955
2021-02-01,in,Fareshare,0.2753
2021-02-01,out,Used as food,0.36205
2021-02-01,out,"Council compost, Energen biogas, etc.",0.00875
2021-02-02,in,Local supermarkets,0.081
2021-02-02,in,Other,0.02275
2021-02-02,out,Used as food,0.00975
2021-02-02,out,"Council compost, Energen biogas, etc.",0.094
2021-02-03,in,Local supermarkets,0.0557
2021-02-03,in,Other,0.0005
2021-02-03,out,Used as food,-0.01435
2021-02-03,out,"Council compost, Energen biogas, etc.",0.0032
2021-02-03,out,Donated to animal sanctuary,0.06735
2021-02-04,in,Local supermarkets,0.04395
2021-02-04,in,Other,0.000322
2021-02-04,out,Used as food,0.038822
2021-02-04,out,"Council compost, Energen biogas, etc.",0.00545
2021-02-05,in,Local supermarkets,0.0416
2021-02-05,in,Other,0.0005
2021-02-05,out,Used as food,0.0288
2021-02-05,out,"Council compost, Energen biogas, etc.",0.0133
2021-02-06,in,Local supermarkets,0.1249
2021-02-06,in,Other,0.0011143
2021-02-06,out,Used as food,0.0706143
2021-02-06,out,"Council compost, Energen biogas, etc.",0.013
2021-02-06,out,Donated to animal sanctuary,0.0424
2021-02-07,in,Local supermarkets,0.0406
2021-02-07,out,Used as food,0.0339
2021-02-07,out,"Council compost, Energen biogas, etc.",0.0067
2021-02-08,in,Local supermarkets,0.0661
2021-02-08,in,Fareshare,0.50564
2021-02-08,in,Other,0.0008
2021-02-08,out,Used as food,0.57254
2021-02-09,in,Local supermarkets,0.0646
2021-02-09,in,Other,0.0005
2021-02-09,out,Used as food,0.03480
2021-02-09,out,"Council compost, Energen biogas, etc.",0.00325
2021-02-09,out,Donated to animal sanctuary,0.02705
2021-02-10,in,Local supermarkets,0.05925
2021-02-10,in,Other,0.0011
2021-02-10,out,Used as food,0.05090
2021-02-10,out,"Council compost, Energen biogas, etc.",0.00035
2021-02-10,out,Donated to animal sanctuary,0.0091
2021-02-11,in,Local supermarkets,0.0616
2021-02-11,in,Donated as waste,0.08915
2021-02-11,in,Other,0.000744
2021-02-11,out,Used as food,0.146494
2021-02-11,out,Used by individuals for compost,0.005
2021-02-12,in,Local supermarkets,0.01
2021-02-12,in,Fareshare,0.82966
2021-02-12,in,Other,0.0021
2021-02-12,out,Used as food,0.82876
2021-02-12,out,"Council compost, Energen biogas, etc.",0.013
2021-02-13,in,Local supermarkets,0.0622
2021-02-13,in,Other,0.00085
2021-02-13,out,Used as food,0.05285
2021-02-13,out,Donated to animal sanctuary,0.0102
2021-02-14,in,Local supermarkets,0.1265
2021-02-14,in,Other,0.000752
2021-02-14,out,Used as food,0.115572
2021-02-14,out,"Council compost, Energen biogas, etc.",0.01168
2021-02-15,in,Local supermarkets,0.066
2021-02-15,in,Fareshare,0.60968
2021-02-15,in,Other,0.00082
2021-02-15,out,Used as food,0.67140
2021-02-15,out,"Council compost, Energen biogas, etc.",0.0051
2021-02-16,in,Local supermarkets,0.0512
2021-02-16,in,Other,0.000614
2021-02-16,out,Used as food,0.047114
2021-02-16,out,"Council compost, Energen biogas, etc.",0.0047
2021-02-17,in,Local supermarkets,0.05855
2021-02-17,in,Other,0.000641
2021-02-17,out,Used as food,0.051311
2021-02-17,out,"Council compost, Energen biogas, etc.",0.00788
2021-02-18,in,Local supermarkets,0.0366
2021-02-18,in,Other,0.00071
2021-02-18,out,Used as food,0.03401
2021-02-18,out,"Council compost, Energen biogas, etc.",0.0033
2021-02-19,in,Local supermarkets,0.0494
2021-02-19,in,Other,0.021362
2021-02-19,out,Used as food,0.044762
2021-02-19,out,"Council compost, Energen biogas, etc.",0.021
2021-02-19,out,Donated to animal sanctuary,0.005
2021-02-20,in,Local supermarkets,0.0474
2021-02-20,in,Other,0.015896
2021-02-20,out,Used as food,0.023596
2021-02-20,out,"Council compost, Energen biogas, etc.",0.02215
2021-02-20,out,Donated to animal sanctuary,0.01755
2021-02-21,in,Local supermarkets,0.041
2021-02-21,in,Other,0.0005
2021-02-21,out,Used as food,0.01145
2021-02-21,out,"Council compost, Energen biogas, etc.",0.00495
2021-02-21,out,Donated to animal sanctuary,0.0251
2021-02-22,in,Local supermarkets,0.0811
2021-02-22,in,Fareshare,0.82307
2021-02-22,in,Other,0.0007
2021-02-22,out,Used as food,0.87647
2021-02-22,out,"Council compost, Energen biogas, etc.",0.0017
2021-02-22,out,Donated to animal sanctuary,0.0267
2021-02-23,in,Local supermarkets,0.0552
2021-02-23,in,Donated not waste,0.03296
2021-02-23,in,Other,0.01195
2021-02-23,out,Used as food,0.09801
2021-02-23,out,"Council compost, Energen biogas, etc.",0.0021
2021-02-24,in,Local supermarkets,0.03905
2021-02-24,in,Donated not waste,0.0402
2021-02-24,in,Other,0.00061
2021-02-24,out,Used as food,0.04399
2021-02-24,out,"Council compost, Energen biogas, etc.",0.00919
2021-02-24,out,Donated to animal sanctuary,0.02668
2021-02-25,in,Local supermarkets,0.0306
2021-02-25,in,Purchased,0.0333
2021-02-25,in,Donated not waste,0.0035
2021-02-25,out,Used as food,0.0674
2021-02-26,in,Local supermarkets,0.0354
2021-02-26,in,Donated not waste,0.0045
2021-02-26,out,Used as food,0.02605
2021-02-26,out,"Council compost, Energen biogas, etc.",0.0082
2021-02-26,out,Donated to animal sanctuary,0.00565
2021-02-27,in,Local supermarkets,0.10925
2021-02-27,in,Donated not waste,0.00086
2021-02-27,out,Used as food,0.09451
2021-02-27,out,"Council compost, Energen biogas, etc.",0.00695
2021-02-27,out,Donated to animal sanctuary,0.00865
2021-02-28,in,Local supermarkets,0.1003
2021-02-28,in,Donated not waste,0.000858
2021-02-28,out,Used as food,0.068178
2021-02-28,out,"Council compost, Energen biogas, etc.",0.03178
2021-02-28,out,Donated to animal sanctuary,0.0012
2021-03-01,in,Fareshare,0.692254
2021-03-01,in,Donated not waste,0.000574
2021-03-01,out,Used as food,0.670828
2021-03-01,out,Used by individuals for compost,0.0017
2021-03-01,out,Donated to animal sanctuary,0.0203
2021-03-02,in,Local supermarkets,0.0377
2021-03-02,in,Donated not waste,0.15068
2021-03-02,out,Used as food,0.15418
2021-03-02,out,"Council compost, Energen biogas, etc.",0.0065
2021-03-02,out,Donated to animal sanctuary,0.0277
2021-03-03,in,Local supermarkets,0.0664
2021-03-03,in,Donated not waste,0.008621
2021-03-03,out,Used as food,0.074321
2021-03-03,out,"Council compost, Energen biogas, etc.",0.0007
2021-03-04,in,Local supermarkets,0.0581
2021-03-04,in,Purchased,0.3111
2021-03-04,in,Donated not waste,0.000657
2021-03-04,out,Used as food,0.352357
2021-03-04,out,"Council compost, Energen biogas, etc.",0.0175
2021-03-05,in,Local supermarkets,0.0395
2021-03-05,in,Donated not waste,0.03588
2021-03-05,out,Used as food,0.05843
2021-03-05,out,"Council compost, Energen biogas, etc.",0.01695
2021-03-06,in,Local supermarkets,0.0927
2021-03-06,in,Donated not waste,0.005685
2021-03-06,out,Used as food,0.049735
2021-03-06,out,"Council compost, Energen biogas, etc.",0.00815
2021-03-06,out,Donated to animal sanctuary,0.0405
2021-03-07,in,Local supermarkets,0.0826
2021-03-07,in,Donated not waste,0.000919
2021-03-07,out,Used as food,0.077969
2021-03-07,out,Donated to animal sanctuary,0.00555
2021-03-08,in,Local supermarkets,0.0688
2021-03-08,in,Fareshare,1.03058
2021-03-08,in,Donated not waste,0.00068
2021-03-08,out,Used as food,1.07116
2021-03-08,out,"Council compost, Energen biogas, etc.",0.0061
2021-03-08,out,Donated to animal sanctuary,0.0228
2021-03-09,in,Local supermarkets,0.0763
2021-03-09,in,Donated not waste,0.0402
2021-03-09,out,Used as food,0.0799
2021-03-09,out,"Council compost, Energen biogas, etc.",0.0366
2021-03-10,in,Local supermarkets,0.0695
2021-03-10,in,Donated not waste,0.0067
2021-03-10,out,Used as food,0.0750
2021-03-10,out,"Council compost, Energen biogas, etc.",0.0012
2021-03-11,in,Local supermarkets,0.054
2021-03-11,in,Purchased,0.22395
2021-03-11,in,Donated not waste,0.06608
2021-03-11,out,Used as food,0.33399
2021-03-11,out,"Council compost, Energen biogas, etc.",0.00844
2021-03-11,out,Donated to animal sanctuary,0.0016
2021-03-12,in,Local supermarkets,0.0456
2021-03-12,in,Donated not waste,0.0225
2021-03-12,out,Used as food,0.0639
2021-03-12,out,"Council compost, Energen biogas, etc.",0.0042
2021-03-13,in,Local supermarkets,0.0246
2021-03-13,in,Donated not waste,0.000786
2021-03-13,out,Used as food,0.022186
2021-03-13,out,"Council compost, Energen biogas, etc.",0.0032
2021-03-14,in,Local supermarkets,0.0943
2021-03-14,in,Donated not waste,0.000633
2021-03-14,out,Used as food,0.093083
2021-03-14,out,"Council compost, Energen biogas, etc.",0.00185
2021-03-15,in,Local supermarkets,0.105
2021-03-15,in,Fareshare,0.609
2021-03-15,in,Donated not waste,0.000385
2021-03-15,out,Used as food,0.712485
2021-03-15,out,"Council compost, Energen biogas, etc.",0.0019
2021-03-16,in,Local supermarkets,0.055
2021-03-16,in,Donated not waste,0.012856
2021-03-16,out,Used as food,0.047276
2021-03-16,out,"Council compost, Energen biogas, etc.",0.02058
2021-03-17,in,Local supermarkets,0.0547
2021-03-17,in,Donated as waste,0.0129
2021-03-17,in,Donated not waste,0.013185
2021-03-17,out,Used as food,0.080785
2021-03-18,in,Local supermarkets,0.0165
2021-03-18,out,Used as food,0.0165
2021-03-19,in,Local supermarkets,0.0328
2021-03-19,in,Donated as waste,0.0614
2021-03-19,in,Donated not waste,0.00593
2021-03-19,out,Used as food,0.09703
2021-03-19,out,Donated to animal sanctuary,0.0031
2021-03-20,in,Local supermarkets,0.1173
2021-03-20,in,Donated not waste,0.000538
2021-03-20,in,Other,0.0097
2021-03-20,out,Used as food,0.109738
2021-03-20,out,"Council compost, Energen biogas, etc.",0.0178
2021-03-21,in,Local supermarkets,0.1847
2021-03-21,in,Donated not waste,0.000891
2021-03-21,out,Used as food,0.182641
2021-03-21,out,"Council compost, Energen biogas, etc.",0.00295
2021-03-22,in,Local supermarkets,0.072
2021-03-22,in,Fareshare,0.78
2021-03-22,in,Donated not waste,0.000495
2021-03-22,out,Used as food,0.810095
2021-03-22,out,"Council compost, Energen biogas, etc.",0.0119
2021-03-22,out,Donated to animal sanctuary,0.0305
2021-03-23,in,Local supermarkets,0.0415
2021-03-23,in,Donated not waste,0.018145
2021-03-23,out,Used as food,0.042245
2021-03-23,out,"Council compost, Energen biogas, etc.",0.0174
2021-03-24,in,Local supermarkets,0.06535
2021-03-24,in,Donated not waste,0.00082
2021-03-24,out,Used as food,0.05007
2021-03-24,out,"Council compost, Energen biogas, etc.",0.0161
2021-03-25,in,Local supermarkets,0.0284
2021-03-25,in,Purchased,0.2347
2021-03-25,in,Donated as waste,0.0252
2021-03-25,in,Donated not waste,0.000646
2021-03-25,out,Used as food,0.272946
2021-03-25,out,"Council compost, Energen biogas, etc.",0.0035
2021-03-25,out,Donated to animal sanctuary,0.0125
2021-03-26,in,Local supermarkets,0.0994
2021-03-26,in,Donated as waste,0.0192
2021-03-26,out,Used as food,0.1025
2021-03-26,out,"Council compost, Energen biogas, etc.",0.0059
2021-03-26,out,Donated to animal sanctuary,0.0102
2021-03-27,in,Local supermarkets,0.1334
2021-03-27,in,Donated not waste,0.000712
2021-03-27,out,Used as food,0.109662
2021-03-27,out,"Council compost, Energen biogas, etc.",0.0156
2021-03-27,out,Donated to animal sanctuary,0.00885
2021-03-28,in,Local supermarkets,0.06995
2021-03-28,out,Used as food,0.05995
2021-03-28,out,"Council compost, Energen biogas, etc.",0.01
2021-03-29,in,Local supermarkets,0.0924
2021-03-29,in,Fareshare,0.70854
2021-03-29,out,Used as food,0.78734
2021-03-29,out,"Council compost, Energen biogas, etc.",0.0092
2021-03-29,out,Donated to animal sanctuary,0.0044
2021-03-30,in,Local supermarkets,0.0693
2021-03-30,in,Donated not waste,0.00075
2021-03-30,out,Used as food,0.04855
2021-03-30,out,"Council compost, Energen biogas, etc.",0.01475
2021-03-30,out,Donated to animal sanctuary,0.00675
2021-03-31,in,Local supermarkets,0.0525
2021-03-31,in,Donated not waste,0.00059
2021-03-31,out,Used as food,0.02669
2021-03-31,out,"Council compost, Energen biogas, etc.",0.0038
2021-03-31,out,Used by individuals for compost,0.0166
2021-03-31,out,Donated to animal sanctuary,0.006
2021-04-01,in,Local supermarkets,0.0111
2021-04-01,in,Purchased,0.1522
2021-04-01,in,Donated as waste,0.03165
2021-04-01,in,Donated not waste,0.004561
2021-04-01,out,Used as food,0.194711
2021-04-01,out,"Council compost, Energen biogas, etc.",0.0048
2021-04-02,in,Local supermarkets,0.04135
2021-04-02,in,Donated as waste,0.06995
2021-04-02,in,Donated not waste,0.00093
2021-04-02,out,Used as food,0.10788
2021-04-02,out,"Council compost, Energen biogas, etc.",0.00435
2021-04-03,in,Local supermarkets,0.08595
2021-04-03,in,Donated not waste,0.00069
2021-04-03,out,Used as food,0.06699
2021-04-03,out,"Council compost, Energen biogas, etc.",0.0145
2021-04-03,out,Donated to animal sanctuary,0.00515
2021-04-04,in,Local supermarkets,0.0223
2021-04-04,in,Donated not waste,0.000805
2021-04-04,out,Used as food,0.011055
2021-04-04,out,"Council compost, Energen biogas, etc.",0.01205
2021-04-05,in,Local supermarkets,0.0679
2021-04-05,in,Fareshare,0.43226
2021-04-05,in,Donated not waste,0.00536
2021-04-05,out,Used as food,0.47277
2021-04-05,out,"Council compost, Energen biogas, etc.",0.00865
2021-04-05,out,Donated to animal sanctuary,0.0241
2021-04-06,in,Local supermarkets,0.0832
2021-04-06,in,Fareshare,0.0567
2021-04-06,in,Donated as waste,0.03
2021-04-06,in,Donated not waste,0.000427
2021-04-06,out,Used as food,0.154677
2021-04-06,out,"Council compost, Energen biogas, etc.",0.0052
2021-04-06,out,Donated to animal sanctuary,0.01045
2021-04-07,in,Local supermarkets,0.0732
2021-04-07,in,Donated not waste,0.00065
2021-04-07,out,Used as food,0.07040
2021-04-07,out,"Council compost, Energen biogas, etc.",0.00345
2021-04-08,in,Local supermarkets,0.0282
2021-04-08,in,Donated not waste,0.000585
2021-04-08,out,Used as food,-0.007815
2021-04-08,out,"Council compost, Energen biogas, etc.",0.0007
2021-04-08,out,Donated to animal sanctuary,0.0359
2021-04-09,in,Local supermarkets,0.07935
2021-04-09,in,Donated as waste,0.0119
2021-04-09,in,Donated not waste,0.00054
2021-04-09,out,Used as food,0.05819
2021-04-09,out,"Council compost, Energen biogas, etc.",0.0063
2021-04-09,out,Donated to animal sanctuary,0.0273
2021-04-10,in,Local supermarkets,0.10415
2021-04-10,in,Donated not waste,0.000482
2021-04-10,out,Used as food,0.078732
2021-04-10,out,"Council compost, Energen biogas, etc.",0.0259
2021-04-11,in,Local supermarkets,0.0786
2021-04-11,in,Donated not waste,0.000546
2021-04-11,out,Used as food,0.076646
2021-04-11,out,"Council compost, Energen biogas, etc.",0.0025
2021-04-12,in,Local supermarkets,0.1087
2021-04-12,in,Fareshare,0.70786
2021-04-12,in,Donated not waste,0.00055
2021-04-12,out,Used as food,0.79441
2021-04-12,out,"Council compost, Energen biogas, etc.",0.0055
2021-04-12,out,Donated to animal sanctuary,0.0172
2021-04-13,in,Local supermarkets,0.0831
2021-04-13,in,Donated as waste,0.016
2021-04-13,in,Donated not waste,0.000239
2021-04-13,out,Used as food,0.087439
2021-04-13,out,"Council compost, Energen biogas, etc.",0.0119
2021-04-14,in,Local supermarkets,0.0984
2021-04-14,in,Donated not waste,0.00048
2021-04-14,out,Used as food,0.09173
2021-04-14,out,"Council compost, Energen biogas, etc.",0.00715
2021-04-15,in,Local supermarkets,0.0641
2021-04-15,in,Donated not waste,0.00032
2021-04-15,out,Used as food,0.04942
2021-04-15,out,"Council compost, Energen biogas, etc.",0.015
2021-04-16,in,Local supermarkets,0.0524
2021-04-16,out,Used as food,0.0524
2021-04-17,in,Local supermarkets,0.0802
2021-04-17,out,Used as food,0.0802
2021-04-18,in,Local supermarkets,0.0539
2021-04-18,out,Used as food,0.0539
2021-04-19,in,Local supermarkets,7.6675
2021-04-19,in,Fareshare,0.726616
2021-04-19,out,Used as food,8.394116
2021-04-20,in,Local supermarkets,0.0577
2021-04-20,out,Used as food,0.0577
